_acc,_f1_macro,_train_loss,_val_loss,bidi,class_weight_smoothing,dropout_lstm,embedding_dim,hidden_dim,lr_gamma,lr_start,n_lstm_layers,runtime,train_time
0.9317269076305221,0.8441989108913492,0.0037710322455192604,0.07056370377540588,true,10.0,0.2,6,32,0.99,0.01,2,5.090975305000029,5
0.9133677567412507,0.7796700084636348,0.00047237257628391185,0.1166156786493957,true,10.0,0.2,6,32,0.99,0.02,2,5.1273124769995775,5
0.9231210556511761,0.7882939415374894,0.00825862215521435,0.07293272949755192,true,10.0,0.5,6,32,0.99,0.01,2,5.069694050999715,5
0.9334480780263913,0.8415563990526385,0.004072368696021537,0.0736409081146121,true,10.0,0.5,6,32,0.99,0.02,2,5.085234766999747,5
0.9271371199082042,0.8411494684370118,0.00013662726802673812,0.1104416660964489,true,10.0,0.2,6,64,0.99,0.01,2,5.093035704000613,5
0.9225473321858864,0.8320879084967651,0.0004646262299502268,0.10166821349412203,true,10.0,0.2,6,64,0.99,0.02,2,5.0638915900008215,5
0.9300057372346529,0.850387417235152,0.0003363677198649384,0.09112079394981265,true,10.0,0.5,6,64,0.99,0.01,2,5.099141333999796,5
0.9294320137693631,0.8307610678225001,0.0001625165842900363,0.10229841433465481,true,10.0,0.5,6,64,0.99,0.02,2,5.103287500000079,5
0.9288582903040734,0.8451541387488877,0.00781557170363764,0.06941183190792799,true,10.0,0.2,10,32,0.99,0.01,2,5.096702099999675,5
0.9179575444635686,0.808718009518228,0.0031353358877822756,0.08996119163930416,true,10.0,0.2,10,32,0.99,0.02,2,5.0644435280000835,5
0.9368904188181296,0.8216033792142259,0.008066351184000571,0.06583976512774825,true,10.0,0.5,10,32,0.99,0.01,2,5.102415782999742,5
0.9334480780263913,0.8570043503287594,0.00336963237884144,0.07260845368728042,true,10.0,0.5,10,32,0.99,0.02,2,5.106083657999989,5
0.9282845668387837,0.8206081494828126,0.0001953781689129149,0.10526885464787483,true,10.0,0.2,10,64,0.99,0.01,2,5.097273395999764,5
0.9334480780263913,0.850201443976189,0.00010119989868447495,0.10765516571700573,true,10.0,0.2,10,64,0.99,0.02,2,5.095556004000173,5
0.9334480780263913,0.8516819564350111,0.0004995634342776611,0.08825448527932167,true,10.0,0.5,10,64,0.99,0.01,2,5.0987407780003196,5
0.9437751004016064,0.864808926594916,0.0007527491097183277,0.07911305781453848,true,10.0,0.5,10,64,0.99,0.02,2,5.065871368999979,5
0.9259896729776248,0.8033088194355706,0.011721202793220678,0.06690098717808723,true,10.0,0.7,10,32,0.99,0.01,2,5.108329216000129,5
0.9271371199082042,0.8414433880141408,0.007906773220747709,0.07317233830690384,true,10.0,0.7,10,32,0.99,0.02,2,5.059616237999762,5
0.9328743545611016,0.8375294953833194,0.0018070465128403157,0.07415184052661061,true,10.0,0.7,10,64,0.99,0.01,2,5.10459690100015,5
0.9254159495123351,0.8358633013499812,0.0008096424765729656,0.0955319944769144,true,10.0,0.7,10,64,0.99,0.02,2,5.1111503039992385,5
0.9363166953528399,0.8536239646620694,0.0021918068019052346,0.0783817796036601,true,10.0,0.5,10,100,0.99,0.01,2,5.12463908799964,5
0.9139414802065404,0.8159711804325713,0.006421100503454606,0.08208303991705179,true,10.0,0.5,10,100,0.99,0.02,2,5.121279297999536,5
0.9368904188181296,0.8364755969743797,0.003606606399019559,0.06965244933962822,true,10.0,0.7,10,100,0.99,0.01,2,5.120385180000085,5
0.9196787148594378,0.8251273339489551,0.01067037102766335,0.07504094578325748,true,10.0,0.7,10,100,0.99,0.02,2,5.260585375000119,5
0.9345955249569707,0.8401753110999207,0.004062352702021599,0.07664820458739996,true,10.0,0.5,16,32,0.99,0.01,2,5.090928617999452,5
0.9317269076305221,0.8314028860295892,0.0062854635063558815,0.07019827933982015,true,10.0,0.5,16,32,0.99,0.02,2,5.128937499000131,5
0.9225473321858864,0.7967292460869001,0.013732760958373547,0.07107557822018862,true,10.0,0.7,16,32,0.99,0.01,2,5.1658364660006555,5
0.9328743545611016,0.8553094682172787,0.010676613046477238,0.06422722339630127,true,10.0,0.7,16,32,0.99,0.02,2,5.076655502999529,5
0.9288582903040734,0.8503963131482155,0.0005159458523849025,0.08431837381795049,true,10.0,0.5,16,64,0.99,0.01,2,5.08319616099925,5
0.9334480780263913,0.8559402375392586,0.000509041378973052,0.08988591376692057,true,10.0,0.5,16,64,0.99,0.02,2,5.082556416000443,5
0.9374641422834193,0.8546665136185313,0.0037048247177153826,0.07101721549406648,true,10.0,0.7,16,64,0.99,0.01,2,5.0901091080004335,5
0.9311531841652324,0.8430946018232811,0.002351714294248571,0.07889052177779377,true,10.0,0.7,16,64,0.99,0.02,2,5.086775271000079,5
0.9300057372346529,0.8492623507291519,0.00263758702785708,0.07415532320737839,true,10.0,0.5,16,100,0.99,0.01,2,5.276302626999495,5
0.9311531841652324,0.8309329369205901,0.008949331007897854,0.06267440365627408,true,10.0,0.5,16,100,0.99,0.02,2,5.275473770000644,5
0.9495123350545037,0.868123124152536,0.005550782568752766,0.05866609001532197,true,10.0,0.7,16,100,0.99,0.01,2,5.15413036299924,5
0.9368904188181296,0.8753894246357005,0.0077009513974189755,0.07684333808720112,true,10.0,0.7,16,100,0.99,0.02,2,5.131120190999354,5
0.9363166953528399,0.8591026721645797,0.0008297978395906588,0.0751606491394341,true,10.0,0.5,16,64,0.99,0.015,2,5.083020357999885,5
0.9265633964429145,0.8407089092093629,0.0018185108240383367,0.08601907268166542,true,10.0,0.7,16,64,0.99,0.015,2,5.069668219999585,5
0.9328743545611016,0.8447888207413449,0.0022953678310538334,0.0725731416605413,true,10.0,0.5,16,128,0.99,0.015,2,5.241174501999922,5
0.9271371199082042,0.8534354385355825,0.006832248453671734,0.0758714247494936,true,10.0,0.7,16,128,0.99,0.015,2,5.212115861999337,5
0.9305794606999426,0.8453529796504113,0.0002590764022897929,0.09982390515506268,true,10.0,0.5,24,64,0.99,0.015,2,5.115558650999446,5
0.9311531841652324,0.8428077224300967,0.002702846145257354,0.07789900992065668,true,10.0,0.7,24,64,0.99,0.015,2,5.1009724409996124,5
0.9271371199082042,0.8377797122693691,0.0041907515997687975,0.08191130589693785,true,10.0,0.5,24,128,0.99,0.015,2,5.25239813799999,5
0.9311531841652324,0.8571857772202224,0.007550766738131642,0.07052749441936612,true,10.0,0.7,24,128,0.99,0.015,2,5.229491681999207,5
0.9305794606999426,0.8428597172292636,0.0011997855316925174,0.08062308887019753,true,10.0,0.5,32,64,0.99,0.015,2,5.109730151999429,5
0.9374641422834193,0.8629714292367077,0.003316673256146411,0.07096678810194135,true,10.0,0.7,32,64,0.99,0.015,2,5.0927528519996486,5
0.9345955249569707,0.8454926016861293,0.009761538822203875,0.06466204999014735,true,10.0,0.5,32,128,0.99,0.015,2,5.299653409999337,5
0.9351692484222605,0.8180120244905271,0.009898708947002888,0.07628823909908533,true,10.0,0.7,32,128,0.99,0.015,2,5.249317443000109,5
