_acc,_f1_macro,_train_loss,_val_loss,bidi,class_weight_smoothing,dropout_lstm,embedding_dim,hidden_dim,label_smoothing,lr_gamma,lr_start,n_lstm_layers,runtime,train_time
0.9308252427184466,0.7414469229170209,0.0011398787755751982,0.19854860939085484,true,10.0,0.5,16,64,0.0,0.99,0.05,2,10.070781917999966,10
0.9453883495145631,0.7763497114481345,0.000025870565817361543,0.1398584023118019,true,10.0,0.5,16,64,0.0,0.99,0.01,2,10.102377609999849,10
0.9484223300970874,0.8121291732758543,0.6753225922584534,0.7430035322904587,true,10.0,0.5,16,64,0.1,0.99,0.05,2,10.070115413999929,10
0.9381067961165048,0.7668581639934468,0.6720512310663859,0.764028325676918,true,10.0,0.5,16,64,0.1,0.99,0.01,2,10.061297711999941,10
0.9429611650485437,0.7705742236387043,0.009636814395586649,0.1500961948186159,true,10.0,0.7,16,64,0.0,0.99,0.05,2,10.05880482800012,10
0.9320388349514563,0.7520565023249866,0.00010095404431922361,0.17462855018675327,true,10.0,0.7,16,64,0.0,0.99,0.01,2,10.096724922000021,10
0.9502427184466019,0.8128383024255225,0.6775082588195801,0.7468067556619644,true,10.0,0.7,16,64,0.1,0.99,0.05,2,10.076232470999912,10
0.9356796116504854,0.7772860309152437,0.6740186214447021,0.7540181428194046,true,10.0,0.7,16,64,0.1,0.99,0.01,2,10.105713567000066,10
0.9393203883495146,0.7822918012000893,0.0006063021401738904,0.17400392144918442,true,5.0,0.5,16,64,0.0,0.99,0.05,2,10.103286126999592,10
0.9350728155339806,0.7987504946098036,0.6766788244247437,0.7604553252458572,true,5.0,0.5,16,64,0.1,0.99,0.05,2,10.05366842300009,10
0.9435679611650486,0.791136445741155,0.006830157044654091,0.1570078246295452,true,5.0,0.7,16,64,0.0,0.99,0.05,2,10.05810892999989,10
0.9466019417475728,0.8096527057063108,0.6812689383824666,0.7556671798229218,true,5.0,0.7,16,64,0.1,0.99,0.05,2,10.084369181000056,10
0.9435679611650486,0.7650481882295844,0.004203900687086085,0.15303692780435085,true,10.0,0.5,16,128,0.0,0.99,0.05,2,10.16228858500017,10
0.9429611650485437,0.7681822937560542,0.6890674432118734,0.7550292611122131,true,10.0,0.5,16,128,0.1,0.99,0.05,2,10.192689694000364,10
0.9435679611650486,0.7754199994403747,0.006357053279255827,0.15623145923018456,true,5.0,0.5,16,128,0.0,0.99,0.05,2,10.161784848000025,10
0.9447815533980582,0.7789267724276504,0.6788007696469625,0.7647924721240997,true,5.0,0.5,16,128,0.1,0.99,0.05,2,10.186585224000282,10
0.9490291262135923,0.806092707829237,0.01577373957261443,0.1294029736891389,true,10.0,0.7,16,128,0.0,0.99,0.05,2,10.142678332999822,10
0.9405339805825242,0.7800061490527921,0.6937613566716512,0.755683109164238,true,10.0,0.7,16,128,0.1,0.99,0.05,2,10.18439919299999,10
0.941747572815534,0.7902380581928328,0.013753753372778494,0.13407506607472897,true,5.0,0.7,16,128,0.0,0.99,0.05,2,10.161201911000262,10
0.9453883495145631,0.8065938784461709,0.6871068596839904,0.7513409554958344,true,5.0,0.7,16,128,0.1,0.99,0.05,2,10.15999169800034,10
0.9435679611650486,0.7722201614579872,0.0016069955541752278,0.1563231311738491,true,10.0,0.5,23,64,0.0,0.99,0.05,2,10.074925562999852,10
0.9362864077669902,0.7937453295083052,0.6720320820808411,0.7526150494813919,true,10.0,0.5,23,64,0.1,0.99,0.05,2,10.093618077999963,10
0.9490291262135923,0.7955412269292258,0.0011847175880878543,0.1715343464165926,true,5.0,0.5,23,64,0.0,0.99,0.05,2,10.100150874000065,10
0.9405339805825242,0.7676654844760583,0.6776845375696818,0.753502145409584,true,5.0,0.5,23,64,0.1,0.99,0.05,2,10.097690327999771,10
0.9314320388349514,0.7656153610781454,0.011993974912911654,0.1424270235002041,true,10.0,0.7,23,64,0.0,0.99,0.05,2,10.105155169000227,10
0.9435679611650486,0.802505372256734,0.6812605659166971,0.7498644143342972,true,10.0,0.7,23,64,0.1,0.99,0.05,2,10.108679418000065,10
0.9326456310679612,0.7762616043244746,0.011513785614321629,0.17029591649770737,true,5.0,0.7,23,64,0.0,0.99,0.05,2,10.05507365099993,10
0.9472087378640777,0.8216597657192057,0.6869190573692322,0.7443343997001648,true,5.0,0.7,23,64,0.1,0.99,0.05,2,10.066326299000139,10
0.9344660194174758,0.7661298680030355,0.007057462733549376,0.15326827764511108,true,10.0,0.5,23,128,0.0,0.99,0.05,2,10.165914921999956,10
0.945995145631068,0.8035585908636124,0.6756002068519592,0.745890662074089,true,10.0,0.5,23,128,0.1,0.99,0.05,2,10.199050729000191,10
0.9344660194174758,0.7595272269817842,0.00651777603973945,0.1678970903158188,true,5.0,0.5,23,128,0.0,0.99,0.05,2,10.092204627999763,10
0.9411407766990292,0.7954110652787211,0.6778518398602803,0.7597363591194153,true,5.0,0.5,23,128,0.1,0.99,0.05,2,10.13164959300002,10
0.9478155339805825,0.7891015383371158,0.014539830898866058,0.14031424839049578,true,10.0,0.7,23,128,0.0,0.99,0.05,2,10.178977602000032,10
0.9405339805825242,0.8050874935850066,0.6843873500823975,0.7470551431179047,true,10.0,0.7,23,128,0.1,0.99,0.05,2,10.129445307999958,10
0.9423543689320388,0.7897826260526088,0.013274870968113342,0.15253550000488758,true,5.0,0.7,23,128,0.0,0.99,0.05,2,10.129413676999775,10
0.9368932038834952,0.764657700910964,0.6954286019007365,0.7646283060312271,true,5.0,0.7,23,128,0.1,0.99,0.05,2,10.114874913000222,10
0.9490291262135923,0.8263270813621633,1.2030914704004922,1.2519393861293793,true,10.0,0.7,16,64,0.2,0.99,0.05,2,10.107578196999839,10
0.933252427184466,0.7753686511710101,1.2108104785283407,1.2599506676197052,true,10.0,0.8,16,64,0.2,0.99,0.05,2,10.075893598999755,10
0.9453883495145631,0.7969039859311119,1.6655470927556355,1.708937793970108,true,10.0,0.7,16,64,0.3,0.99,0.05,2,10.087524213000052,10
0.945995145631068,0.8196107890746063,1.2029619614283245,1.2590877711772919,true,10.0,0.6,16,64,0.2,0.99,0.05,2,10.099150393999935,10
0.9453883495145631,0.8230705478469205,1.6607068538665772,1.7095930874347687,true,10.0,0.6,16,64,0.3,0.99,0.05,2,10.088064487999873,10
0.9235436893203883,0.7271267213855246,1.2076995690663657,1.2799089550971985,true,10.0,0.7,16,64,0.2,0.99,0.05,3,10.10146271800022,10
0.8592233009708737,0.6123340822227732,1.703829558690389,1.7596250474452972,true,10.0,0.7,16,64,0.3,0.99,0.05,3,10.09575351500007,10
0.933252427184466,0.77364410158655,1.2154417594273885,1.2636291086673737,true,10.0,0.6,16,64,0.2,0.99,0.05,3,10.075735734000318,10
0.9314320388349514,0.7559645274819573,1.6714240392049153,1.7167348563671112,true,10.0,0.6,16,64,0.3,0.99,0.05,3,10.092980954999803,10
0.9441747572815534,0.7933389413133126,0.6773878296216329,0.7518739700317383,true,10.0,0.6,16,64,0.1,0.99,0.05,2,10.12565116099995,10
0.9453883495145631,0.8013634762026578,1.2089367628097534,1.257921427488327,true,10.0,0.7,18,64,0.2,0.99,0.05,2,10.07224330200006,10
0.941747572815534,0.8009905888048977,0.6792443593343099,0.7548792511224747,true,10.0,0.7,18,64,0.1,0.99,0.05,2,10.078288921999956,10
0.9472087378640777,0.8195986719602759,1.2006574869155884,1.2565948963165283,true,10.0,0.6,18,64,0.2,0.99,0.05,2,10.07069858299974,10
0.9484223300970874,0.7839135025097042,0.6805378794670105,0.7487636208534241,true,10.0,0.6,18,64,0.1,0.99,0.05,2,10.076618957999926,10
0.9429611650485437,0.8183077074384567,0.6823005596796672,0.7472406625747681,true,10.0,0.7,15,64,0.1,0.99,0.05,2,10.078891309999563,10
0.9423543689320388,0.7975361753823121,0.6777792731920879,0.743118479847908,true,10.0,0.7,14,64,0.1,0.99,0.05,2,10.056182414999967,10
0.933252427184466,0.7772198497344409,0.6902160326639811,0.7586561292409897,true,15.0,0.7,16,64,0.1,0.99,0.05,2,10.066829943000357,10
0.9435679611650486,0.805310041839267,0.6798439741134643,0.7493432313203812,true,10.0,0.75,16,64,0.1,0.99,0.05,2,10.074646402000326,10
0.9472087378640777,0.8049637010197913,0.6819130698839824,0.7467793971300125,true,15.0,0.75,16,64,0.1,0.99,0.05,2,10.085825832999944,10
0.9381067961165048,0.7963858832206112,0.6824413021405538,0.7459183186292648,true,10.0,0.7,16,64,0.1,0.95,0.05,2,10.086843716000203,10
0.9423543689320388,0.7554414471583657,0.6849602977434794,0.7509031742811203,true,10.0,0.7,16,64,0.1,0.95,0.01,2,10.095052918999954,10
0.9484223300970874,0.8070285629136231,0.6846645037333171,0.7394456118345261,true,15.0,0.7,16,64,0.1,0.95,0.05,2,10.088208696000038,10
0.941747572815534,0.753385183569052,0.6729928692181905,0.7488459199666977,true,15.0,0.7,16,64,0.1,0.99,0.01,2,10.078856636000182,10
0.9429611650485437,0.7628046665685555,0.6873904387156169,0.7516359686851501,true,15.0,0.7,16,64,0.1,0.95,0.01,2,10.097660041999916,10
0.9478155339805825,0.8081729088290174,0.6775591293970744,0.7401941269636154,true,10.0,0.65,16,64,0.1,0.99,0.05,2,10.077677763999873,10
0.9283980582524272,0.7601381392845099,0.6899640560150146,0.7580154836177826,true,10.0,0.65,16,64,0.1,0.95,0.05,2,10.065783250000095,10
0.9466019417475728,0.795235243212192,0.6732544263203939,0.7458357363939285,true,10.0,0.65,16,64,0.1,0.99,0.01,2,10.063805396000134,10
0.9362864077669902,0.75988628039225,0.6843511819839477,0.7590086162090302,true,10.0,0.65,16,64,0.1,0.95,0.01,2,10.070230443999662,10
0.9441747572815534,0.7812265160314732,0.6755255738894145,0.7454212456941605,true,15.0,0.65,16,64,0.1,0.99,0.05,2,10.072228416000144,10
0.9429611650485437,0.8001465264037781,0.6801520387331644,0.7542023956775665,true,15.0,0.65,16,64,0.1,0.95,0.05,2,10.106122684999718,10
0.9399271844660194,0.7555656659629905,0.6720544775327046,0.7638262510299683,true,15.0,0.65,16,64,0.1,0.99,0.01,2,10.060928152000088,10
0.9441747572815534,0.768053121716504,0.6832002719243367,0.7439354062080383,true,15.0,0.65,16,64,0.1,0.95,0.01,2,10.092005973999676,10
0.9466019417475728,0.8046060691485531,0.6822675307591756,0.7505105435848236,true,10.0,0.7,16,64,0.1,0.97,0.05,2,10.091089579999789,10
0.9326456310679612,0.7725122825107652,0.693742283185323,0.7600792795419693,true,10.0,0.7,16,64,0.1,0.99,0.1,2,10.075483344000077,10
0.9302184466019418,0.7578791677864848,0.6982011000315348,0.7614677250385284,true,10.0,0.7,16,64,0.1,0.97,0.1,2,10.09772797100004,10
0.9423543689320388,0.7872903857995763,0.6796315630276998,0.7475936561822891,true,10.0,0.7,16,80,0.1,0.99,0.05,2,10.068942282999615,10
0.9478155339805825,0.8179295729485566,0.678914999961853,0.7437233030796051,true,10.0,0.7,16,80,0.1,0.97,0.05,2,10.079424465999637,10
0.9259708737864077,0.7420191608638087,0.7049044092496236,0.7675781697034836,true,10.0,0.7,16,80,0.1,0.99,0.1,2,10.07387627800017,10
0.9217233009708737,0.71889747347856,0.7108090281486511,0.7726379483938217,true,10.0,0.7,16,80,0.1,0.97,0.1,2,10.076484327000344,10
0.9375,0.7881453473301177,0.6759403228759766,0.7649499177932739,true,10.0,0.7,12,64,0.1,0.99,0.05,2,10.077806050999698,10
0.9423543689320388,0.7788582605201779,0.6827115813891093,0.7545279264450073,true,10.0,0.7,12,64,0.1,0.97,0.05,2,10.101292081999873,10
0.9466019417475728,0.8186911570204625,0.6898792306582133,0.7530452907085419,true,10.0,0.7,12,64,0.1,0.99,0.1,2,10.114411434999965,10
0.9405339805825242,0.7441113207040309,0.6881491700808208,0.7516082674264908,true,10.0,0.7,12,64,0.1,0.97,0.1,2,10.091321462999986,10
0.9423543689320388,0.7887749097650946,0.6794813116391499,0.7589617967605591,true,10.0,0.7,12,80,0.1,0.99,0.05,2,10.062965695000003,10
0.9435679611650486,0.8132986853105557,0.6801482995351156,0.7526076287031174,true,10.0,0.7,12,80,0.1,0.97,0.05,2,10.099191596999844,10
0.9320388349514563,0.7733038655164566,0.7032210469245911,0.7644641548395157,true,10.0,0.7,12,80,0.1,0.99,0.1,2,10.064208592000341,10
0.8470873786407767,0.4561507835577603,0.7615455985069275,0.850204199552536,true,10.0,0.7,12,80,0.1,0.97,0.1,2,10.072163077999903,10
0.9362864077669902,0.802473656254654,0.6793004115422566,0.7486601024866104,true,10.0,0.7,16,48,0.1,0.99,0.05,2,10.088933765000093,10
0.9405339805825242,0.7947016725361454,0.6798486630121867,0.7529955953359604,true,10.0,0.7,18,48,0.1,0.99,0.05,2,10.083232661000238,10
0.9381067961165048,0.8086022183141485,0.6715755860010783,0.7575626224279404,true,10.0,0.0,16,64,0.1,0.99,0.05,1,10.088712935999865,10
0.9356796116504854,0.8014267157588075,0.6719192663828532,0.7623103260993958,true,10.0,0.0,16,48,0.1,0.99,0.05,1,10.06752355899971,10
0.9441747572815534,0.8169416118919776,0.6717771172523499,0.7541687786579132,true,10.0,0.0,18,64,0.1,0.99,0.05,1,10.048774956000216,10
0.9381067961165048,0.8081690797873666,0.6715646028518677,0.7645246833562851,true,10.0,0.0,18,48,0.1,0.99,0.05,1,10.07493247399998,10
